agency, firename, lat, lon, startdate, hectares, stage_of_control, timezone
ab, MWF-047-2023, 59.8864, -111.558, 2023-07-02 02:25:00, 0.01, UC, MDT
qc, 526, 54.4136, -72.6189, 2023-06-23 17:47:00, 1621.4, OC, EDT
qc, 539, 48.4925, -75.6328, 2023-07-02 18:07:00, 5, BH, EDT
ab, HWF-091-2023, 58.6437, -115.622, 2023-07-01 00:56:00, 1, UC, MDT
bc, 2023-V11064, 49.2176, -121.586, 2023-07-02 13:21:00, 0.11, OC, PDT
bc, 2023-K51040, 49.9102, -119.481, 2023-07-01 21:56:00, 6.5, UC, PDT
on, COC_FIRE_019, 49.6071, -79.7037, 2023-06-24 15:29:00, 580, BH, GMT
qc, 379, 50.1667, -73.4733, 2023-06-02 15:00:00, 70266.9, OC, EDT
bc, 2023-G31065, 52.1987, -119.248, 2023-07-02 14:43:00, 0.01, OC, PDT
nt, EV004-23, 67.1167, -132.314, 2023-07-02 02:47:00, 19.56, OC, MDT
qc, 344, 49.1222, -76.7867, 2023-06-02 18:23:00, 481096, BH, EDT
bc, 2023-V81044, 49.8308, -125.629, 2023-07-01 23:27:00, 0.01, UC, PDT
on, SLK_FIRE_060, 52.5732, -90.3636, 2023-06-28 17:08:00, 5.5, UC, GMT
sk, 23DB-LIME, 54.6073, -103.302, 2023-07-01 07:43:35, 145, OC, CST
sk, 23DB-SKIMMER, 54.3395, -103.871, 2023-07-01 09:41:56, 1, UC, CST
sk, 23DB-BAY, 54.5473, -103.855, 2023-07-01 10:20:57, 0.1, UC, CST
sk, 23DN-PAWR01, 54.8722, -109.44, 2023-07-01 14:39:06, 6.6, OC, CST
mb, EA069, 50.9747, -95.6983, 2023-07-01 05:00:00, 3, UC, CDT
ab, HWF-088-2023, 59.3997, -117.209, 2023-06-30 23:31:00, 3.3, UC, MDT
bc, 2023-G90273, 58.0617, -121.912, 2023-05-12 20:25:00, 40061, OC, PDT
bc, 2023-G71019, 55.3956, -121.03, 2023-07-01 00:10:00, 0.6, BH, PDT
bc, 2023-G91028, 59.1178, -122.37, 2023-07-01 06:31:00, 1, BH, PDT
bc, 2023-C41070, 51.7772, -121.215, 2023-07-02 20:28:00, 0, OC, PDT
ab, MWF-046-2023, 59.9075, -111.588, 2023-07-02 02:21:00, 0.01, UC, MDT
nt, SS018-23, 60.3872, -116.272, 2023-07-01 22:35:00, 7, UC, MDT
